case_id,vin_fraction,vin_v,ngspice_vout_v,xyce_vout_v,absolute_vout_difference_v,ngspice_supply_current_a,xyce_supply_current_a,absolute_supply_current_difference_a
v100_t050_r0125,0.23,0.023000000000000003,0.013723779831663192,0.013724717027006126,9.371953429340024e-07,2.20012896746118e-08,2.200091230519524e-08,3.773694165597581e-13
v100_t050_r0125,0.24,0.024,0.013597058557789612,0.013597980590334818,9.220325452065359e-07,2.205759175840228e-08,2.2057219448558083e-08,3.7230984419497083e-13
v100_t050_r0125,0.25,0.025,0.013472182016167832,0.013473089109695366,9.070935275343195e-07,2.21131477994992e-08,2.211278051003653e-08,3.672894626715332e-13
v100_t050_r0125,0.26,0.026000000000000002,0.013349120145604762,0.013350012522923553,8.923773187913958e-07,2.216796795438204e-08,2.2167605644570596e-08,3.6230981144535703e-13
v100_t050_r0125,0.27,0.027000000000000003,0.01322784333958806,0.013228721222367599,8.778827795385274e-07,2.222206229318372e-08,2.222170492088268e-08,3.573723010413665e-13
v100_t050_r0125,0.28,0.028000000000000004,0.01310832244363769,0.013109186052252706,8.636086150162758e-07,2.227544079704415e-08,2.227508831882473e-08,3.5247821941948003e-13
v100_t050_r0125,0.29,0.028999999999999998,0.012990528752360302,0.012991378305747934,8.495533876315409e-07,2.232811335570363e-08,2.2327765726965267e-08,3.4762873836375335e-13
v100_t050_r0125,0.3,0.03,0.012874434006231322,0.012875269721760221,8.357155288993973e-07,2.238008976532351e-08,2.2379746940404097e-08,3.428249194149189e-13
v100_t050_r0125,0.31,0.031,0.012760010388127921,0.012760832481478364,8.220933504429762e-07,2.243137972652214e-08,2.24310416588023e-08,3.3806771984262975e-13
v100_t050_r0125,0.32,0.032,0.012647230519634331,0.012648039204688733,8.086850544018059e-07,2.24819928426146e-08,2.2481659484616662e-08,3.333579979394157e-13
v100_t050_r0125,0.33,0.033,0.012536067457140702,0.012536862945884313,7.954887436111696e-07,2.253193861804545e-08,2.2531609921526835e-08,3.286965186157328e-13
v100_t050_r0125,0.34,0.034,0.0124264946877544,0.01242727719018496,7.825024305602168e-07,2.258122645700352e-08,2.2580902373045354e-08,3.240839581645237e-13
v100_t050_r0125,0.35000000000000003,0.035,0.01231848612504222,0.012319255849088578,7.697240463587496e-07,2.262986566220908e-08,2.262954614129952e-08,3.195209095584823e-13
v100_t050_r0125,0.36,0.036,0.012212016104620532,0.012212773256069476,7.571514489441988e-07,2.26778654338634e-08,2.2677550425976693e-08,3.1500788670837955e-13
v100_t050_r0125,0.37,0.037,0.012107059379609701,0.012107804162040414,7.447824307126732e-07,2.272523486875161e-08,2.2724924323422397e-08,3.105453292110802e-13
v100_t050_r0125,0.38,0.038000000000000006,0.012003591115967351,0.012004323730693283,7.326147259314325e-07,2.277198295949021e-08,2.2771676825883702e-08,3.061336065086069e-13
v100_t050_r0125,0.39,0.03900000000000001,0.011901586887715492,0.01190230753373287,7.206460173776741e-07,2.281811859391036e-08,2.2817816820888445e-08,3.017730219148554e-13
v100_t050_r0125,0.4,0.04000000000000001,0.011801022672073681,0.011801731546016528,7.088739428472157e-07,2.286365055456953e-08,2.2863353090752954e-08,2.9746381657613523e-13
v100_t050_r0125,0.41000000000000003,0.04100000000000001,0.011701874844511781,0.011702572140612733,6.972961009519413e-07,2.290858751838319e-08,2.2908294312210094e-08,2.9320617309422104e-13
v100_t050_r0125,0.42,0.042,0.011604120173732921,0.011604806083789885,6.859100569640841e-07,2.295293805636985e-08,2.295264905615065e-08,2.89000219202343e-13
v100_t050_r0125,0.43,0.043000000000000003,0.011507735816598261,0.011508410529946063,6.747133478018225e-07,2.299671063350213e-08,2.2996425787471168e-08,2.848460309614128e-13
v100_t050_r0125,0.44,0.044000000000000004,0.011412699313003202,0.0114133630164902,6.63703486999262e-07,2.30399136086572e-08,2.3039632865021113e-08,2.807436360885984e-13
